id,location_x,location_y,land_use_category,dryland_category,country,many_trees,tree_count
SWA13113,67.58561869,36.07467496,grassland,Semiarid,Afghanistan,FALSE,0
SWA14285,68.11706201,34.3458672,otherland,Semiarid,Afghanistan,FALSE,0
SWA14333,66.23895424,33.83733092,grassland,Semiarid,Afghanistan,FALSE,0
SWA13941,69.52274577,35.22361106,grassland,Semiarid,Afghanistan,FALSE,0
SWA13533,64.89336778,34.90183453,otherland,Semiarid,Afghanistan,FALSE,0
SWA1429,62.3638916,33.51312893,otherland,Arid,Afghanistan,FALSE,0
SWA1424,61.40772482,33.27381774,otherland,Arid,Afghanistan,FALSE,0
SWA13375,66.25242897,35.43866774,otherland,Semiarid,Afghanistan,FALSE,0
SWA14514,67.97665533,33.82789861,otherland,Semiarid,Afghanistan,FALSE,0
SWA14084,67.49479901,34.58922081,otherland,Semiarid,Afghanistan,FALSE,0
SWA14448,66.0174297,33.54304283,grassland,Semiarid,Afghanistan,FALSE,0
SWA13707,67.42338295,35.1872293,otherland,Semiarid,Afghanistan,FALSE,0
SWA14228,68.55741616,34.55418651,otherland,Semiarid,Afghanistan,FALSE,0
SWA14291,69.08832049,34.53343543,settlement,Semiarid,Afghanistan,FALSE,6
SWA3221,67.31289017,31.30057839,otherland,Arid,Afghanistan,FALSE,0
SWA14611,66.63538078,33.3056181,otherland,Semiarid,Afghanistan,FALSE,0
SWA1029,61.36837861,34.64500619,otherland,Arid,Afghanistan,FALSE,0
SWA14163,68.6751853,34.69890511,otherland,Semiarid,Afghanistan,FALSE,0
SWA3901,65.09683619,29.73023344,otherland,Arid,Afghanistan,FALSE,0
SWA13012,64.42202175,35.53811125,otherland,Semiarid,Afghanistan,FALSE,0
SWA14681,69.55239017,33.76672334,otherland,Semiarid,Afghanistan,FALSE,10
SWA12884,67.94189053,36.50910024,grassland,Semiarid,Afghanistan,FALSE,0
SWA3414,65.36255785,30.55946828,grassland,Arid,Afghanistan,FALSE,0
SWA12731,67.18029883,36.6053098,cropland,Semiarid,Afghanistan,FALSE,0
SWA14638,70.96400281,34.14536323,otherland,Semiarid,Afghanistan,FALSE,0
SWA2616,63.20417572,31.26662207,otherland,Arid,Afghanistan,FALSE,0
SWA12867,64.80659052,35.8690506,grassland,Semiarid,Afghanistan,FALSE,0
SWA2111,63.58012067,32.27884373,otherland,Arid,Afghanistan,FALSE,0
SWA12523,65.8678602,36.70771775,grassland,Semiarid,Afghanistan,FALSE,0
SWA12959,68.15533024,36.42798237,otherland,Semiarid,Afghanistan,FALSE,0
SWA1884,63.39093547,32.69224843,otherland,Arid,Afghanistan,FALSE,0
SWA1683,65.70778042,33.68048507,grassland,Arid,Afghanistan,FALSE,0
SWA14030,71.21220732,35.401208,grassland,Semiarid,Afghanistan,FALSE,0
SWA2464,66.67661345,32.37667027,otherland,Arid,Afghanistan,FALSE,0
SWA14617,67.58831363,33.50396612,otherland,Semiarid,Afghanistan,FALSE,0
SWA3088,61.31151525,30.00296196,otherland,Arid,Afghanistan,FALSE,0
SWA13681,62.92039792,34.2016876,grassland,Semiarid,Afghanistan,FALSE,0
SWA2285,65.22269016,32.35834463,otherland,Arid,Afghanistan,FALSE,0
SWA14408,68.52965822,34.18201449,otherland,Semiarid,Afghanistan,FALSE,0
SWA13698,65.96191381,34.88647334,otherland,Semiarid,Afghanistan,FALSE,0
SWA14859,69.24274089,33.21884084,grassland,Semiarid,Afghanistan,FALSE,0
SWA13867,69.15084324,35.276432,otherland,Semiarid,Afghanistan,FALSE,0
SWA3709,64.24496381,29.8315634,otherland,Arid,Afghanistan,FALSE,0
SWA1197,60.87304756,33.90605204,otherland,Arid,Afghanistan,FALSE,0
SWA2532,63.32841272,31.45095637,otherland,Arid,Afghanistan,FALSE,0
SWA14235,69.69576129,34.7687042,otherland,Semiarid,Afghanistan,FALSE,0
SWA1552,65.00332157,33.82789861,otherland,Arid,Afghanistan,FALSE,0
SWA13382,67.39831995,35.67124157,otherland,Semiarid,Afghanistan,FALSE,0
SWA1969,65.75197753,33.08436305,otherland,Arid,Afghanistan,FALSE,0
SWA2702,62.15395532,30.84567153,otherland,Arid,Afghanistan,FALSE,0
SWA2035,64.08757897,32.55265023,otherland,Arid,Afghanistan,FALSE,0
SWA13294,67.68021129,35.8488385,grassland,Semiarid,Afghanistan,FALSE,0
SWA14411,69.01393999,34.27525962,grassland,Semiarid,Afghanistan,FALSE,0
SWA12738,68.34936634,36.8295293,grassland,Semiarid,Afghanistan,FALSE,0
SWA13861,68.16880497,35.08940276,otherland,Semiarid,Afghanistan,FALSE,0
SWA14518,68.61832194,33.95456106,otherland,Semiarid,Afghanistan,FALSE,0
SWA2892,61.91383565,30.473769,grassland,Arid,Afghanistan,FALSE,0
SWA2824,67.28270677,31.90047333,otherland,Arid,Afghanistan,FALSE,0
SWA14864,70.04125335,33.36975781,settlement,Semiarid,Afghanistan,FALSE,0
SWA13706,67.26033872,35.15462045,grassland,Semiarid,Afghanistan,FALSE,0
SWA13042,69.36913385,36.53146829,settlement,Semiarid,Afghanistan,FALSE,7
SWA2536,64.07868565,31.6334042,cropland,Arid,Afghanistan,FALSE,0
SWA3210,65.24613619,30.83839517,otherland,Arid,Afghanistan,FALSE,0
SWA14158,67.86427609,34.54071179,grassland,Semiarid,Afghanistan,FALSE,0
SWA3091,61.85912825,30.14929752,otherland,Arid,Afghanistan,FALSE,0
SWA2101,61.69877897,31.80857568,otherland,Arid,Afghanistan,FALSE,0
SWA713,64.72951507,36.33743219,otherland,Arid,Afghanistan,FALSE,0
SWA14230,68.88188764,34.61643976,otherland,Semiarid,Afghanistan,FALSE,0
SWA13273,64.25493511,35.13036594,otherland,Semiarid,Afghanistan,FALSE,0
SWA1666,62.43611615,32.91835438,grassland,Arid,Afghanistan,FALSE,0
SWA14025,70.38755389,35.25783688,forest,Semiarid,Afghanistan,FALSE,0
SWA1878,62.25339882,32.41197406,otherland,Arid,Afghanistan,TRUE,0
SWA13682,63.07886074,34.23941684,otherland,Semiarid,Afghanistan,FALSE,0
SWA12804,66.89679053,36.42690439,otherland,Semiarid,Afghanistan,FALSE,0
SWA2545,65.78000497,32.02794427,grassland,Arid,Afghanistan,FALSE,0
SWA12871,65.79024576,36.07871738,grassland,Semiarid,Afghanistan,FALSE,0
SWA13785,67.79636345,35.13872027,grassland,Semiarid,Afghanistan,FALSE,0
SWA1819,65.05344756,33.23204608,otherland,Arid,Afghanistan,FALSE,0
SWA2528,62.58218222,31.26419662,otherland,Arid,Afghanistan,FALSE,0
SWA13789,68.45015732,35.26592171,otherland,Semiarid,Afghanistan,FALSE,0
SWA2622,64.32742915,31.53962008,cropland,Arid,Afghanistan,FALSE,0
SWA1289,61.20290893,33.68291052,grassland,Arid,Afghanistan,FALSE,0
SWA3087,61.1296064,29.95364445,otherland,Arid,Afghanistan,FALSE,0
SWA14571,68.66251905,33.84083435,grassland,Semiarid,Afghanistan,FALSE,0
SWA12672,69.48151309,37.15750421,cropland,Semiarid,Afghanistan,FALSE,0
SWA2701,61.96908204,30.79770149,otherland,Arid,Afghanistan,FALSE,0
SWA13089,62.22078998,34.90506846,cropland,Semiarid,Afghanistan,FALSE,0
SWA1893,65.11408385,33.09406485,otherland,Arid,Afghanistan,FALSE,0
SWA927,62.99558691,35.34245818,grassland,Arid,Afghanistan,FALSE,0
SWA2458,65.53126146,32.12415384,otherland,Arid,Afghanistan,FALSE,0
SWA1487,63.7773907,33.69961918,grassland,Arid,Afghanistan,FALSE,0
SWA15036,68.82340732,32.5240838,otherland,Semiarid,Afghanistan,FALSE,0
SWA13524,63.13087319,34.5002876,otherland,Semiarid,Afghanistan,FALSE,0
SWA2446,63.26588998,31.58920709,otherland,Arid,Afghanistan,FALSE,0
SWA14769,68.04187302,33.22746467,otherland,Semiarid,Afghanistan,FALSE,0
SWA2819,66.33246887,31.69484897,grassland,Arid,Afghanistan,FALSE,0
SWA12727,66.51599468,36.47271847,otherland,Semiarid,Afghanistan,FALSE,0
SWA3304,64.00538312,30.38806972,otherland,Arid,Afghanistan,FALSE,0
SWA12524,66.03413836,36.74167406,grassland,Semiarid,Afghanistan,FALSE,0
SWA2118,64.91169341,32.59172695,cropland,Arid,Afghanistan,FALSE,0
SWA1735,62.50160334,32.78118164,otherland,Arid,Afghanistan,FALSE,0
SWA3716,65.53503439,30.14067369,otherland,Arid,Afghanistan,FALSE,0
SWA13772,65.6886463,34.70510348,otherland,Semiarid,Afghanistan,FALSE,0
SWA14618,67.74758493,33.53630547,cropland,Semiarid,Afghanistan,FALSE,0
SWA1963,64.5988102,32.82430077,grassland,Arid,Afghanistan,FALSE,0
SWA2639,67.55462681,32.2605181,otherland,Arid,Afghanistan,FALSE,0
SWA14305,71.37444306,34.94468417,forest,Semiarid,Afghanistan,TRUE,0
SWA13085,61.58316579,34.74957009,otherland,Semiarid,Afghanistan,FALSE,0
SWA14731,69.59470082,33.65272713,forest,Semiarid,Afghanistan,TRUE,0
SWA1597,61.42039106,32.81567695,otherland,Arid,Afghanistan,FALSE,0
SWA3101,63.69923727,30.62037405,otherland,Arid,Afghanistan,FALSE,0
SWA3105,64.44169486,30.80120492,otherland,Arid,Afghanistan,FALSE,0
SWA2797,62.21782554,30.70795979,otherland,Arid,Afghanistan,FALSE,0
SWA768,65.39840063,36.32961684,otherland,Arid,Afghanistan,FALSE,0
SWA14616,67.42904233,33.47135727,otherland,Semiarid,Afghanistan,FALSE,0
SWA3312,65.49083728,30.7424551,grassland,Arid,Afghanistan,FALSE,0
SWA3906,66.01850767,29.9463681,otherland,Arid,Afghanistan,FALSE,0
SWA3307,64.56081146,30.52308651,grassland,Arid,Afghanistan,FALSE,0
SWA1670,63.19959431,33.10484464,grassland,Arid,Afghanistan,FALSE,0
SWA14451,66.49362663,33.64518128,grassland,Semiarid,Afghanistan,FALSE,0
SWA2812,65.01113691,31.39490149,otherland,Arid,Afghanistan,FALSE,0
SWA14072,65.56548728,34.18524843,grassland,Semiarid,Afghanistan,FALSE,0
SWA1871,60.93745676,32.07294987,otherland,Arid,Afghanistan,FALSE,0
SWA13009,62.00546381,34.97756251,grassland,Semiarid,Afghanistan,FALSE,0
SWA13211,69.12497176,36.24418706,otherland,Semiarid,Afghanistan,FALSE,0
SWA14088,68.14293349,34.71803922,grassland,Semiarid,Afghanistan,FALSE,0
SWA766,64.99469774,36.24364807,otherland,Arid,Afghanistan,FALSE,0
SWA13111,67.25548782,36.00945728,grassland,Semiarid,Afghanistan,FALSE,0
SWA14028,70.88207645,35.34461413,forest,Semiarid,Afghanistan,TRUE,0
SWA3498,62.11353113,29.59629463,cropland,Arid,Afghanistan,FALSE,0
SWA1965,64.98230099,32.91215601,otherland,Arid,Afghanistan,FALSE,0
SWA14086,67.81846201,34.65389951,grassland,Semiarid,Afghanistan,FALSE,0
SWA2726,66.65559287,31.91745149,otherland,Arid,Afghanistan,FALSE,0
SWA14162,68.51268006,34.66764374,grassland,Semiarid,Afghanistan,FALSE,0
SWA14154,67.21856706,34.4108154,otherland,Semiarid,Afghanistan,FALSE,0
SWA14513,67.81657555,33.79582875,grassland,Semiarid,Afghanistan,FALSE,0
SWA13039,68.86787392,36.43984013,grassland,Semiarid,Afghanistan,FALSE,0
SWA14070,65.24613619,34.11544933,otherland,Semiarid,Afghanistan,FALSE,0
SWA3005,64.38159756,30.93999463,otherland,Arid,Afghanistan,FALSE,0
SWA14890,68.01707952,32.85394518,grassland,Semiarid,Afghanistan,FALSE,0
SWA2440,62.14613998,31.30704626,grassland,Arid,Afghanistan,FALSE,0
SWA928,63.19339594,35.38854175,grassland,Arid,Afghanistan,FALSE,0
SWA13127,69.91566887,36.50775276,grassland,Semiarid,Afghanistan,FALSE,0
SWA13527,63.60949558,34.61212785,otherland,Semiarid,Afghanistan,FALSE,0
SWA12742,69.02094685,36.95349681,grassland,Semiarid,Afghanistan,FALSE,0
SWA14018,69.23869847,35.04924807,otherland,Semiarid,Afghanistan,FALSE,0
SWA13840,64.77586814,34.38170998,grassland,Semiarid,Afghanistan,FALSE,0
SWA13929,67.56378963,34.84793561,grassland,Semiarid,Afghanistan,FALSE,0
SWA12605,70.11482537,37.38926955,otherland,Semiarid,Afghanistan,FALSE,0
SWA12811,68.06181562,36.65354933,otherland,Semiarid,Afghanistan,FALSE,0
SWA13084,60.94877554,34.59110727,otherland,Semiarid,Afghanistan,FALSE,0
SWA13480,69.42464974,35.93480727,otherland,Semiarid,Afghanistan,FALSE,0
SWA14404,67.88583566,34.05508254,grassland,Semiarid,Afghanistan,FALSE,0
SWA13932,68.05157483,34.94441467,otherland,Semiarid,Afghanistan,FALSE,0
SWA13176,62.59538745,34.87057316,cropland,Semiarid,Afghanistan,FALSE,0
SWA12747,69.86392591,37.10387479,grassland,Semiarid,Afghanistan,FALSE,0
SWA2199,64.9720602,32.45347622,grassland,Arid,Afghanistan,FALSE,0
SWA12885,68.10870768,36.5409006,grassland,Semiarid,Afghanistan,FALSE,0
SWA12969,69.82781364,36.7346672,otherland,Semiarid,Afghanistan,FALSE,0
SWA623,64.80308709,36.65462731,grassland,Arid,Afghanistan,FALSE,0
SWA2728,67.03638872,31.99964734,grassland,Arid,Afghanistan,FALSE,0
SWA3098,63.14461742,30.48185384,otherland,Arid,Afghanistan,FALSE,0
SWA13636,68.19494594,35.4607663,grassland,Semiarid,Afghanistan,FALSE,0
SWA2530,62.95489323,31.35825023,otherland,Arid,Afghanistan,FALSE,0
SWA1032,62.93198619,35.02337659,otherland,Arid,Afghanistan,FALSE,2
SWA14164,68.83769053,34.72989698,otherland,Semiarid,Afghanistan,FALSE,0
SWA1728,61.17757644,32.4445829,otherland,Arid,Afghanistan,FALSE,0
SWA1727,60.98946922,32.39553489,grassland,Arid,Afghanistan,FALSE,0
SWA13444,63.39659485,34.68677785,grassland,Semiarid,Afghanistan,FALSE,9
SWA14969,68.89536237,32.78360709,grassland,Semiarid,Afghanistan,FALSE,9
SWA2293,66.75476688,32.69629084,otherland,Arid,Afghanistan,FALSE,9
SWA13387,68.22135641,35.83159085,otherland,Semiarid,Afghanistan,FALSE,0
SWA13175,62.43557716,34.83230493,grassland,Semiarid,Afghanistan,FALSE,0
SWA13391,68.88296562,35.95663634,wetland,Semiarid,Afghanistan,FALSE,0
SWA1604,62.7525028,33.14931124,otherland,Arid,Afghanistan,FALSE,0
SWA13394,69.38045262,36.047995,grassland,Semiarid,Afghanistan,FALSE,0
SWA2185,62.32535388,31.81504355,grassland,Arid,Afghanistan,FALSE,0
SWA2451,64.20588709,31.81666052,otherland,Arid,Afghanistan,FALSE,0
SWA13942,69.68713746,35.25352496,otherland,Semiarid,Afghanistan,FALSE,0
SWA12820,69.5709853,36.93112876,grassland,Semiarid,Afghanistan,FALSE,0
SWA3230,69.02256382,31.65415528,otherland,Arid,Afghanistan,FALSE,0
SWA14863,69.88117356,33.33984391,settlement,Semiarid,Afghanistan,FALSE,0
SWA13384,67.72710334,35.73592027,grassland,Semiarid,Afghanistan,FALSE,0
SWA14610,66.47718746,33.27166178,grassland,Semiarid,Afghanistan,FALSE,0
SWA13397,69.8795566,36.13800619,otherland,Semiarid,Afghanistan,FALSE,0
SWA14773,68.67814974,33.35412713,otherland,Semiarid,Afghanistan,FALSE,0
SWA13380,67.07007555,35.60575439,grassland,Semiarid,Afghanistan,FALSE,0
SWA2531,63.14165298,31.4046033,otherland,Arid,Afghanistan,FALSE,0
SWA14558,66.58848872,33.41880583,grassland,Semiarid,Afghanistan,FALSE,0
SWA13918,65.78728132,34.47980601,otherland,Semiarid,Afghanistan,FALSE,0
SWA13386,68.05642573,35.80005998,grassland,Semiarid,Afghanistan,FALSE,0
SWA3410,64.62010027,30.38375781,otherland,Arid,Afghanistan,FALSE,0
SWA12540,70.07062826,37.50245728,grassland,Semiarid,Afghanistan,FALSE,0
SWA13349,60.64748059,34.13808688,otherland,Semiarid,Afghanistan,FALSE,0
SWA1803,61.99872644,32.50144626,otherland,Arid,Afghanistan,FALSE,0
SWA13365,64.62953258,35.09048074,otherland,Semiarid,Afghanistan,FALSE,0
SWA12862,61.4136537,35.08212641,grassland,Semiarid,Afghanistan,FALSE,0
SWA13441,62.91797247,34.57412911,grassland,Semiarid,Afghanistan,FALSE,0
SWA1382,61.7219555,33.50693056,grassland,Arid,Afghanistan,FALSE,0
SWA14236,69.85907501,34.7986181,forest,Semiarid,Afghanistan,TRUE,0
SWA2119,65.10303457,32.63538507,otherland,Arid,Afghanistan,FALSE,0
SWA1341,62.4237194,33.83382749,otherland,Arid,Afghanistan,FALSE,0
SWA1659,61.11020279,32.58121666,grassland,Arid,Afghanistan,FALSE,0
SWA13537,65.5393463,35.04224121,grassland,Semiarid,Afghanistan,FALSE,0
SWA12660,67.29860695,36.75029789,grassland,Semiarid,Afghanistan,FALSE,0
SWA14851,67.97261291,32.96794139,otherland,Semiarid,Afghanistan,FALSE,0
SWA2544,65.59001128,31.98509463,grassland,Arid,Afghanistan,FALSE,0
SWA12895,69.78388602,36.84785493,otherland,Semiarid,Afghanistan,FALSE,0
SWA2823,67.0921741,31.86004915,otherland,Arid,Afghanistan,FALSE,0
SWA14029,71.04700714,35.37291106,grassland,Semiarid,Afghanistan,FALSE,0
SWA12938,64.69528926,35.72163706,otherland,Semiarid,Afghanistan,FALSE,0
SWA3194,62.28843312,30.10752586,otherland,Arid,Afghanistan,FALSE,0
SWA14767,67.7244084,33.16305547,otherland,Semiarid,Afghanistan,FALSE,0
SWA1119,61.89416254,34.46875673,otherland,Arid,Afghanistan,FALSE,0
SWA1961,64.21639738,32.73563705,otherland,Arid,Afghanistan,FALSE,0
SWA2269,62.20300334,31.62990077,otherland,Arid,Afghanistan,FALSE,0
SWA1440,64.68504847,34.05966395,grassland,Arid,Afghanistan,FALSE,0
SWA2194,64.0212833,32.23168218,otherland,Arid,Afghanistan,FALSE,0
SWA12805,67.0625297,36.45978273,otherland,Semiarid,Afghanistan,FALSE,0
SWA3714,65.16528782,30.05362694,grassland,Arid,Afghanistan,FALSE,0
SWA14413,69.33760299,34.33643489,cropland,Semiarid,Afghanistan,FALSE,0
SWA2635,66.78953168,32.09801286,otherland,Arid,Afghanistan,FALSE,0
SWA14005,67.12451345,34.63692135,otherland,Semiarid,Afghanistan,FALSE,0
SWA13521,62.65386778,34.38683038,otherland,Semiarid,Afghanistan,FALSE,0
SWA12933,61.31097626,34.93201792,grassland,Semiarid,Afghanistan,FALSE,0
SWA3022,67.58265425,31.66116214,grassland,Arid,Afghanistan,FALSE,0
